ref;value;Field1;Field4;Field5;Field6;Field7
B1;CR_2032;HOLDER BATT CR2032;0.23;Y;Mouser 712-BAT-HLD-001;Digikey BAT-HLD-001-ND
C1;22 pF;CAP CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C2;22 pF;CAP CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C3;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50;Digikey  490-1405-1-ND
C4;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50;Digikey  490-1405-1-ND
C5;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50;Digikey 490-1405-1-ND
C6;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50;Digikey 490-1405-1-ND
C8;.01 uF;CAP CER SMD .01 10 X7R 16V;.015;Y;Mouser 81-GRM18R71C103KA01D;Digikey 490-1525-1-ND
C9;4.7 uF;CAP CER SMD 4.7uF 10% X7R 25V;.11;Y;Mouser 81-GRM31CR71E475KA88;Digikey 490-1809-1-ND
C10;4.7 uF;CAP CER SMD 4.7uF 10% X7R 25V;.11;Y;Mouser 81-GRM31CR71E475KA88 ;Digikey 490-1809-1-ND
C11;22 pF;CAR CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C12;4.7 uF;CAP CER SMD 4.7uF 10% X7R 25V;.11;Y;Mouser 81-GRM31CR71E475KA88 ;Digikey 490-1809-1-ND
C13;4.7 uF;CAP CER SMD 4.7u 10% X7R 25V;.11;DO NOT PLACE;Mouser 81-GRM31CR71E475KA88;Digikey 490-1809-1-ND
C14;.01 uF;CAP CER SMD .01 10 X7R 16V;.015;DO NOT PLACE;Mouser 81-GRM18R71C103KA01D;Digikey 490-1525-1-ND
C15;10 uF;CAP LYTIC SMD 10uF 20% 16V;.10;DO NOT PLACE;Mouser 647-UWF1C100MCL1GB
D1;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-2-ND
D2;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D3;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D4;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D5;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D6;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D7;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D8;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D9;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D10;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D11;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D12;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D13;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D14;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D15;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
D16;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK;Digi 754-1165-1-ND
