ref;value;Field1;Field4;Field5;Field6
B1;3.3V;HOLDER BATT CR2032;.23;Y;Mouser 712-BAT-HLD-001
C1;22 pF;CAP CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C2;22 pF;CAP CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C3;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50
C4;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50
C5;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50
C6;12 pF;CAP CER SMD 0603 12 5 NPO;.0103;Y;Mouser 81-GRM39C120J50
C8;.01 uF;CAP CER SMD .01 10 X7R 16V;.015;Y;Mouser 81-GRM18R71C103KA01D
C9;4.7 uF;CAP CER SMD 4.7uF 10% X7R 25V;.11;Y;Mouser 81-GRM31CR71E475KA88
C10;4.7 uF;CAP CER SMD 4.7uF 10% X7R 25V;.11;Y;Mouser 81-GRM31CR71E475KA88 
C11;22 pF;CAR CER SMD 0402 22 5 NPO;.04;Y;Mouser 581-04023U220JAT2A
C12;100 uF;CAP LYTIC 100u 20% 6.3V;.21;Y;Mouser 647-UWX0J101MCL1
C13;4.7 uF;CAP CER SMD 4.7u 10% X7R 25V;.11;DO NOT PLACE;Mouser 81-GRM31CR71E475KA88
C14;.01 uF;CAP CER SMD .01 10 X7R 16V;.015;DO NOT PLACE;Mouser 81-GRM18R71C103KA01D
C15;10 uF;CAP LYTIC SMD 10uF 20% 16V;.10;DO NOT PLACE;Mouser 647-UWF1C100MCL1GB
D1;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK 
D2;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK
D3;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK
D4;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK
D5;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK
D6;RED;DIODE LED RED 1206;.05;Y;Mouser 604-APTL3216SURCK
